import time: self [us] | cumulative | imported package
import time:   1871136 |    1871136 |                   django.db.models.utils
import time:   2255702 |    4126838 |                 django.db.models.signals
import time:      2000 |       2000 |                       _uuid
import time:      1260 |       3260 |                     uuid
import time:   1023026 |    1023026 |                                         django.template.context
import time:   1933486 |    1933486 |                                         django.utils.deprecation
import time:   1253931 |    1253931 |                                             django.utils.dates
import time:      2186 |       2186 |                                                   sysconfig
import time:      2243 |       2243 |                                                   _sysconfigdata__darwin_darwin
import time:       805 |        805 |                                                   _osx_support
import time:      6663 |      11896 |                                                 zoneinfo._tzpath
import time:       692 |        692 |                                                 zoneinfo._common
import time:      3801 |       3801 |                                                 _zoneinfo
import time:      3463 |      19850 |                                               zoneinfo
import time:   1996574 |    2016423 |                                             django.utils.timezone
import time:   1556031 |    4826384 |                                           django.utils.dateformat
import time:    947136 |     947136 |                                           django.utils.numberformat
import time:   1398339 |    7171858 |                                         django.utils.formats
import time:      1975 |       1975 |                                             _markupbase
import time:      3837 |       5811 |                                           html.parser
import time:   1408233 |    1408233 |                                             django.utils.deconstruct
import time:   1589680 |    1589680 |                                             django.utils.ipv6
import time:   1460065 |    4457977 |                                           django.core.validators
import time:      2676 |       2676 |                                             gzip
import time:   1555898 |    1558574 |                                           django.utils.text
import time:   1902916 |    7925277 |                                         django.utils.html
import time:   2281766 |    2281766 |                                         django.template.exceptions
import time:   2230992 |   22566403 |                                       django.template.base
import time:   2519024 |    2519024 |                                       django.template.library
import time:   1933249 |   27018675 |                                     django.template.engine
import time:   1415793 |    1415793 |                                     django.template.utils
import time:   2327269 |    2327269 |                                         django.template.backends
import time:   1401242 |    1401242 |                                           django.utils._os
import time:   1498523 |    2899765 |                                         django.template.backends.base
import time:   1506175 |    6733208 |                                       django.template.backends.django
import time:   1891553 |    8624760 |                                     django.template.autoreload
import time:   1494704 |   38553930 |                                   django.template
import time:        68 |   38553997 |                                 django.template.backends
import time:        85 |   38554081 |                               django.template.backends.django
import time:   1027922 |    1027922 |                               django.template.loader
import time:   2524608 |   42106611 |                             django.forms.renderers
import time:   1484858 |   43591469 |                           django.forms.utils
import time:       711 |        711 |                             graphlib
import time:   1709229 |    1709229 |                               django.templatetags
import time:   1498276 |    3207505 |                             django.templatetags.static
import time:   1409265 |    1409265 |                             django.utils.choices
import time:   2355216 |    6972695 |                           django.forms.widgets
import time:    985135 |   51549298 |                         django.forms.boundfield
import time:   1692825 |    1692825 |                           django.utils.dateparse
import time:   1558693 |    1558693 |                           django.utils.duration
import time:   2116180 |    5367697 |                         django.forms.fields
import time:   1460819 |    1460819 |                         django.forms.forms
import time:   1626524 |    1626524 |                         django.forms.formsets
import time:   1799738 |    1799738 |                         django.forms.models
import time:   1882653 |   63686726 |                       django.forms
import time:   1836881 |    1836881 |                       django.db.models.constants
import time:   1868544 |    1868544 |                         django.db.transaction
import time:   1684544 |    1684544 |                         django.utils.tree
