import time: self [us] | cumulative | imported package
import time:   2101272 |    2101272 |           django.db.migrations.exceptions
import time:   2812230 |    7147575 |         django.db.migrations.migration
import time:   1894717 |    1894717 |             django.utils.copy
import time:   2040552 |    2040552 |             django.db.migrations.operations.base
import time:   1790582 |    5725850 |           django.db.migrations.operations.fields
import time:   1843793 |    1843793 |             django.db.migrations.state
import time:   1641745 |    3485538 |           django.db.migrations.operations.models
import time:   1576271 |    1576271 |           django.db.migrations.operations.special
import time:   2054980 |   12842638 |         django.db.migrations.operations
import time:   2979359 |   22969571 |       django.db.migrations
import time:   1872865 |   26840941 |     django.contrib.contenttypes.management
import time:   1657560 |   28499234 |   django.contrib.auth.management
import time:   1721199 |   30220433 | django.contrib.auth.checks
import time:   1501406 |    1501406 | django.contrib.contenttypes.checks
import time:   1577100 |    1577100 |     django.contrib.staticfiles.utils
import time:   1775758 |    3352858 |   django.contrib.staticfiles.finders
import time:   1362229 |    4715086 | django.contrib.staticfiles.checks
import time:      2356 |       2356 | __future__
import time:   1444448 |    1444448 |     corsheaders.defaults
import time:   1540300 |    2984748 |   corsheaders.conf
import time:   1540271 |    4525019 | corsheaders.checks
import time:   1429410 |    1429410 | django.contrib.contenttypes.models
import time:   2210246 |    2210246 |   django.contrib.auth.password_validation
import time:     13958 |      13958 |       _sqlite3
import time:      2090 |      16048 |     sqlite3.dbapi2
import time:      1559 |      17606 |   sqlite3
import time:   1379094 |    1379094 |     django.db.backends.base
import time:   1524713 |    1524713 |     django.db.backends.base.validation
import time:   1474520 |    1474520 |     django.db.backends.signals
import time:   1507644 |    1507644 |     django.utils.asyncio
import time:   1467370 |    7353339 |   django.db.backends.base.base
import time:      2143 |       2143 |       fractions
import time:      2363 |       2363 |       _statistics
import time:      7046 |      11550 |     statistics
import time:   1454022 |    1465571 |   django.db.backends.sqlite3._functions
import time:   1561568 |    1561568 |     django.db.backends.base.client
import time:   1423513 |    2985080 |   django.db.backends.sqlite3.client
import time:      2739 |       2739 |         multiprocessing.process
import time:      1314 |       1314 |         multiprocessing.reduction
import time:      2334 |       6386 |       multiprocessing.context
import time:      1556 |       7942 |     multiprocessing
import time:   1396769 |    1396769 |     django.db.backends.base.creation
import time:   1388502 |    2793212 |   django.db.backends.sqlite3.creation
import time:   1788474 |    1788474 |     django.db.backends.base.features
import time:   1413586 |    3202060 |   django.db.backends.sqlite3.features
import time:   1342829 |    1342829 |         sqlparse.tokens
import time:   1491576 |    1491576 |         sqlparse.utils
import time:   1904416 |    4738819 |       sqlparse.sql
import time:   1347283 |    1347283 |         sqlparse.exceptions
import time:   1507760 |    2855043 |       sqlparse.cli
import time:   1400794 |    1400794 |         sqlparse.engine.grouping
import time:   1542764 |    1542764 |             sqlparse.keywords
import time:   1359562 |    2902326 |           sqlparse.lexer
import time:   1460034 |    1460034 |           sqlparse.engine.statement_splitter
import time:   1397868 |    1397868 |             sqlparse.filters.others
import time:   1396991 |    1396991 |             sqlparse.filters.output
import time:   1384548 |    1384548 |             sqlparse.filters.tokens
import time:   1436247 |    1436247 |             sqlparse.filters.reindent
import time:   1378195 |    1378195 |             sqlparse.filters.right_margin
import time:   1481244 |    1481244 |             sqlparse.filters.aligned_indent
import time:   1411795 |    9886886 |           sqlparse.filters
import time:   1369771 |   15619015 |         sqlparse.engine.filter_stack
import time:   1380966 |   18400774 |       sqlparse.engine
import time:   1458931 |    1458931 |       sqlparse.formatter
import time:   2364074 |   29817638 |     sqlparse
import time:   1429397 |    1429397 |     django.db.backends.base.introspection
import time:   1573459 |   32820493 |   django.db.backends.sqlite3.introspection
import time:   1550468 |    1550468 |     django.db.backends.base.operations
import time:   1431605 |    2982072 |   django.db.backends.sqlite3.operations
import time:   1446433 |    1446433 |       django.db.backends.ddl_references
import time:   1554848 |    3001280 |     django.db.backends.base.schema
import time:   1581811 |    4583090 |   django.db.backends.sqlite3.schema
import time:   5527630 |   65940394 | django.contrib.auth.base_user
import time:   1479030 |    1479030 | django.contrib.auth.validators
import time:   1338598 |    1338598 | django.utils.translation.reloader
import time:   1494220 |    1494220 | django.contrib.sessions.base_session
import time:   1403991 |    1403991 |   django.contrib.auth.tokens
import time:   1385496 |    1385496 |     django.contrib.sites
import time:   1462400 |    1462400 |     django.contrib.sites.requests
import time:   1373472 |    4221368 |   django.contrib.sites.shortcuts
import time:   1529220 |    7154578 | django.contrib.auth.forms
import time:   1429406 |    1429406 | django.contrib.contenttypes.fields
